,id_cliente,nome,nomeSocial,genero,dataNascimento,documento,tipoDocumento
0,1,Huguinho,None,masculino,1980-03-03,741.852.963/89,CPF
1,2,Sivester Star Longe,None,masculino,1980-03-03,123.456.789/09,CPF
2,3,Zezinho,None,masculino,1985-02-05,12.123.456-3,RG
3,5,Lindinha,None,feminino,2000-02-02,963.852.741/25,CPF
4,6,Docinho,None,feminino,2000-02-02,98.321.654-0,RG
5,7,Florzinha,None,feminino,2000-02-02,87.654.321-9,RG
6,8,Isabella Campos,None,Feminino,1970-03-30,416.079.823-31,CPF
7,9,Calebe Rezende,None,Masculino,1936-09-05,704.358.162-17,CPF
8,10,Esther Castro,None,Feminino,1948-11-22,719.304.265-34,CPF
9,11,Alice Nascimento,None,Feminino,1956-02-21,431.095.826-51,CPF
10,12,Pedro Lucas Freitas,None,Masculino,1967-01-01,182.695.307-86,CPF
11,13,Sarah Correia,None,Feminino,1976-06-26,374.892.015-60,CPF
12,14,Luiz Gustavo Farias,None,Masculino,1997-09-24,013.864.792-50,CPF
13,15,Arthur Peixoto,None,Masculino,1974-02-02,769.180.452-02,CPF
14,16,Joana Fogaça,None,Feminino,1973-12-21,251.976.804-58,CPF
15,17,Amanda Gonçalves,None,Feminino,2000-06-13,403.827.916-22,CPF
16,18,Amanda da Costa,None,Feminino,1999-10-12,803.269.175-86,CPF
17,19,Elisa Pinto,None,Feminino,1977-04-23,128.573.490-41,CPF
18,20,Alexandre Rocha,None,Masculino,1944-03-24,694.105.287-20,CPF
19,21,Nathan Ramos,None,Masculino,1979-04-18,297.035.614-70,CPF
20,22,Ryan Cardoso,None,Masculino,1963-10-06,024.791.385-50,CPF
21,23,Marcela Silva,None,Feminino,1972-07-02,839.504.217-50,CPF
22,24,Stephany Ferreira,None,Feminino,1970-06-07,965.423.180-89,CPF
23,25,Yasmin Silva,None,Feminino,1975-01-17,280.571.436-90,CPF
24,26,Vitor Hugo Moraes,None,Masculino,1936-07-02,657.894.203-38,CPF
25,27,Cauê Araújo,None,Masculino,1970-11-28,201.853.796-21,CPF
26,28,Pedro Jesus,None,Masculino,1965-04-26,145.263.890-05,CPF
27,29,Nicole da Costa,None,Feminino,1936-12-23,485.316.092-24,CPF
28,30,Júlia Silveira,None,Feminino,2005-03-20,627.098.315-03,CPF
29,31,Ryan Vieira,None,Masculino,1948-04-09,172.360.854-80,CPF
30,32,Leandro Pereira,None,Masculino,1936-11-07,634.208.591-98,CPF
31,33,Nina Martins,None,Feminino,1984-06-01,491.805.367-00,CPF
32,34,Ana Nascimento,None,Feminino,1978-01-04,587.264.190-76,CPF
33,35,Marcelo da Conceição,None,Masculino,1977-09-20,342.801.576-26,CPF
34,36,Maria Clara Cardoso,None,Feminino,1949-05-31,230.541.968-60,CPF
35,37,Kaique Araújo,None,Masculino,1935-09-22,105.463.829-24,CPF
36,38,Levi Almeida,None,Masculino,1964-09-14,059.267.384-74,CPF
37,39,Eloah Oliveira,None,Feminino,1964-01-05,396.754.821-09,CPF
38,40,Matheus das Neves,None,Masculino,1940-05-24,460.875.932-92,CPF
39,41,Lucas Farias,None,Masculino,1969-06-27,871.692.053-86,CPF
40,42,Cecília Almeida,None,Feminino,1933-11-08,029.564.817-11,CPF
41,43,Maria Julia da Paz,None,Feminino,1990-03-14,425.190.638-15,CPF
42,44,Benjamin Moraes,None,Masculino,1940-05-03,324.761.850-35,CPF
43,45,Davi Luiz das Neves,None,Masculino,2005-04-17,182.574.063-17,CPF
44,46,Danilo Rezende,None,Masculino,1939-11-03,084.613.927-87,CPF
45,47,Evelyn Azevedo,None,Feminino,2000-10-15,830.457.612-08,CPF
46,48,Maitê Freitas,None,Feminino,1961-05-23,908.761.254-02,CPF
47,49,Carlos Eduardo Duarte,None,Masculino,1935-11-06,564.723.910-25,CPF
48,50,Lucas Duarte,None,Masculino,1946-08-27,823.164.095-98,CPF
49,51,Maitê Peixoto,None,Feminino,1938-08-14,210.693.758-02,CPF
50,52,Caroline Freitas,None,Feminino,1996-04-01,054.816.327-80,CPF
51,53,Ryan Dias,None,Masculino,1937-03-07,216.378.094-50,CPF
52,54,Luna Souza,None,Feminino,1985-07-30,951.387.402-88,CPF
53,55,Melissa Mendes,None,Feminino,1951-06-29,391.567.284-09,CPF
54,56,Anthony Silva,None,Masculino,1943-06-11,743.592.618-37,CPF
55,57,Cauê Costela,None,Masculino,1976-09-13,685.147.239-28,CPF
56,58,Davi Lucca Cardoso,None,Masculino,1946-04-11,643.217.598-46,CPF
57,59,Kaique da Cruz,None,Masculino,1954-10-05,607.591.348-39,CPF
58,60,Maria Fernanda Jesus,None,Feminino,1945-02-25,785.463.129-82,CPF
59,61,João Gabriel Monteiro,None,Masculino,1996-06-16,047.892.165-94,CPF
60,62,Fernanda da Cruz,None,Feminino,1986-07-23,864.305.172-17,CPF
61,63,Lucas Gabriel Moraes,None,Masculino,1965-03-20,678.019.325-95,CPF
62,64,Emilly Rocha,None,Feminino,1957-07-16,287.301.659-03,CPF
63,65,Gabriela Sales,None,Feminino,1968-07-23,043.651.872-44,CPF
64,66,Valentina Caldeira,None,Feminino,1935-06-04,014.258.769-94,CPF
65,67,Lucas Gabriel da Rocha,None,Masculino,2003-05-31,183.290.756-21,CPF
66,68,Beatriz da Rosa,None,Feminino,1991-04-29,384.206.195-15,CPF
67,69,Maria Alice Moraes,None,Feminino,1964-01-05,903.816.274-03,CPF
68,70,Joana da Mota,None,Feminino,2004-08-28,635.270.914-16,CPF
69,71,Matheus da Cunha,None,Masculino,1952-11-04,093.582.176-77,CPF
70,72,Enzo Gabriel Cardoso,None,Masculino,1955-07-17,781.092.354-41,CPF
71,73,Marcelo da Luz,None,Masculino,1946-05-18,763.045.821-53,CPF
72,74,Enzo Gabriel Barbosa,None,Masculino,1935-12-17,392.086.174-40,CPF
73,75,Isabelly Sales,None,Feminino,1982-05-23,837.614.209-78,CPF
74,76,Lucca Rodrigues,None,Masculino,1971-01-03,795.846.312-09,CPF
75,77,Sophia das Neves,None,Feminino,1963-01-11,180.723.956-02,CPF
76,78,Emanuelly Caldeira,None,Feminino,1978-08-22,210.678.593-30,CPF
77,79,Agatha Duarte,None,Feminino,1960-02-21,815.943.072-88,CPF
78,80,Luiz Fernando da Rocha,None,Masculino,1990-06-06,623.594.708-92,CPF
79,81,Vitória Barbosa,None,Feminino,1979-05-09,543.761.289-37,CPF
80,82,Pietro Costa,None,Masculino,1995-02-14,983.267.154-09,CPF
81,83,Gabriel Silveira,None,Masculino,1993-07-18,453.086.129-51,CPF
82,84,Thomas Dias,None,Masculino,1976-10-17,540.681.329-33,CPF
83,85,Kevin Ramos,None,Masculino,1941-02-28,419.852.630-33,CPF
84,86,Lorena Moraes,None,Feminino,1994-03-29,840.657.219-11,CPF
85,87,Sophie Caldeira,None,Feminino,1980-06-15,602.458.791-02,CPF
86,88,Camila Ferreira,None,Feminino,1991-09-28,401.523.867-26,CPF
87,89,Maria Clara Peixoto,None,Feminino,1992-04-22,402.371.658-80,CPF
88,90,Rafael Aragão,None,Masculino,1955-05-27,764.592.318-00,CPF
89,91,Lavínia Campos,None,Feminino,1966-09-27,184.569.327-28,CPF
90,92,Daniel Vieira,None,Masculino,1993-12-16,264.935.081-42,CPF
91,93,Fernanda Viana,None,Feminino,1955-08-21,976.318.054-66,CPF
92,94,Ana Laura Dias,None,Feminino,1935-06-24,130.524.876-71,CPF
93,95,João Gabriel Moreira,None,Masculino,1947-07-29,328.196.750-77,CPF
94,96,Rodrigo Monteiro,None,Masculino,1936-03-05,782.905.364-29,CPF
95,97,Marina Farias,None,Feminino,1961-03-30,746.523.098-56,CPF
96,98,Theo Freitas,None,Masculino,1956-02-02,543.167.289-46,CPF
97,99,Gustavo Henrique Pinto,None,Masculino,1973-03-21,349.812.706-31,CPF
98,100,Isabel Duarte,None,Feminino,1955-11-08,498.375.162-91,CPF
99,101,Pedro Lucas Rodrigues,None,Masculino,1994-03-06,961.483.052-24,CPF
100,102,Cauã Cavalcanti,None,Masculino,1987-05-07,289.031.567-30,CPF
101,103,Brenda Nunes,None,Feminino,1963-11-25,249.087.635-00,CPF
102,104,Luiz Fernando Pereira,None,Masculino,2002-09-10,027.936.845-38,CPF
